id,name
1,Optimized deliverables
2,Optimized interfaces
3,Profound networks
4,Down-sized schemas
5,Exclusive deliverables
6,Public-key vortals
7,Innovative synergies
8,User-friendly e-services
9,Switchable synergies
10,Stand-alone channels
11,Balanced e-markets
12,Reactive initiatives
13,Quality-focused architectures
14,Customer-focused e-markets
15,Advanced e-commerce
16,Optimized e-business
17,Profound relationships
18,Optimized infomediaries
19,Multi-tiered action-items
20,Customizable e-services
21,Stand-alone mindshare
22,Expanded initiatives
23,Horizontal partnerships
24,Enhanced e-services
25,Cross-platform web-readiness
26,Fully-configurable networks
27,Reactive paradigms
28,Virtual deliverables
29,Right-sized markets
30,Stand-alone markets
31,Multi-channelled interfaces
32,User-friendly solutions
33,Open-source markets
34,Multi-layered ROI
35,Customizable eyeballs
36,Multi-lateral networks
37,Customer-focused e-markets
38,Synergized networks
39,Expanded schemas
40,Configurable vortals
41,Intuitive markets
42,Switchable channels
43,Secured supply-chains
44,Persistent experiences
45,Polarised architectures
46,Integrated eyeballs
47,Managed infrastructures
48,Organized architectures
49,Optimized relationships
50,Function-based portals
51,Exclusive niches
52,Profound infomediaries
53,Front-line systems
54,Exclusive technologies
55,Reactive e-markets
56,Exclusive mindshare
57,Networked technologies
58,Progressive users
59,Extended schemas
60,Compatible vortals
61,Adaptive platforms
62,Multi-channelled networks
63,Diverse architectures
64,Business-focused e-markets
65,Up-sized experiences
66,Persistent markets
67,Multi-lateral channels
68,Operative e-tailers
69,Exclusive experiences
70,Synergized e-markets
71,Multi-tiered e-business
72,Expanded portals
73,Exclusive markets
74,Optimized partnerships
75,Re-contextualized communities
76,Phased web services
77,Visionary infrastructures
78,Devolved users
79,Seamless e-commerce
80,Monitored vortals
81,Organic technologies
82,Multi-lateral functionalities
83,Decentralized networks
84,Customizable convergence
85,Customer-focused methodologies
86,Stand-alone interfaces
87,Focused niches
88,Switchable platforms
89,Automated networks
90,Multi-channelled models
91,Reactive paradigms
92,Cross-platform portals
93,Organic infrastructures
94,Fully-configurable platforms
95,Enterprise-wide deliverables
96,Universal initiatives
97,Versatile web-readiness
98,Open-source channels
99,Persevering e-markets
100,Profound action-items
